types,counts,probs,total_unique
the,9372,0.04225828414773265,21599
a,6115,0.027572493337962568,21599
and,5670,0.02556599136978704,21599
i,4782,0.02156200541980981,21599
of,4651,0.02097132731232443,21599
to,3983,0.017959319863467688,21599
it,3615,0.01630001037068433,21599
this,3180,0.014338598334377917,21599
is,3007,0.013558542513042263,21599
in,2992,0.013490907615238593,21599
s,2986,0.013463853656117125,21599
that,2469,0.011132704178483986,21599
but,1623,0.007318095942357031,21599
for,1611,0.007263988024114095,21599
was,1605,0.007236934064992628,21599
with,1426,0.006429824284535506,21599
t,1425,0.006425315291348595,21599
you,1326,0.005978924965844377,21599
movie,1326,0.005978924965844377,21599
film,1309,0.005902272081666884,21599
as,1307,0.005893254095293062,21599
on,1225,0.005523516653966336,21599
so,1099,0.004955383512415513,21599
my,1090,0.004914802573733311,21599
one,977,0.004405286343612335,21599
me,959,0.004324124466247931,21599
like,913,0.004116710779650012,21599
not,864,0.0038957701134913585,21599
all,842,0.00379657226337931,21599
be,840,0.0037875542770054874,21599
just,799,0.0036026855563421243,21599
an,793,0.0035756315972206567,21599
are,784,0.0035350506585384548,21599
at,780,0.0035170146857908097,21599
have,725,0.0032690200605106886,21599
about,706,0.003183349189959374,21599
his,676,0.003048079394352035,21599
from,661,0.002980444496548366,21599
he,651,0.002935354564679253,21599
by,647,0.002917318591931608,21599
what,610,0.0027504858440158897,21599
can,592,0.002669323966651486,21599
love,591,0.002664814973464575,21599
there,584,0.002633252021156196,21599
really,564,0.00254307215741797,21599
they,562,0.0025340541710441476,21599
time,532,0.0023987843754368085,21599
music,527,0.002376239409502252,21599
more,514,0.0023176224980724055,21599
if,509,0.002295077532137849,21599
up,501,0.0022590055866425584,21599
when,494,0.0022274426343341794,21599
much,480,0.0021643167297174214,21599
m,474,0.002137262770595954,21599
who,473,0.0021327537774090423,21599
out,469,0.0021147178046613973,21599
good,462,0.0020831548523530183,21599
no,454,0.0020470829068577278,21599
or,452,0.0020380649204839053,21599
some,450,0.0020290469341100827,21599
how,433,0.0019523940499325905,21599
has,432,0.0019478850567456792,21599
musical,413,0.0018622141861943647,21599
ve,397,0.0017900702952037839,21599
her,370,0.001668327479157179,21599
would,369,0.0016638184859702678,21599
had,366,0.0016502915064095338,21599
their,354,0.0015961835881665983,21599
great,353,0.001591674594979687,21599
don,353,0.001591674594979687,21599
we,352,0.0015871656017927757,21599
do,340,0.0015330576835498402,21599
she,336,0.001515021710802195,21599
very,333,0.0015014947312414612,21599
most,333,0.0015014947312414612,21599
than,332,0.0014969857380545497,21599
its,330,0.0014879677516807272,21599
watch,324,0.0014609137925592594,21599
into,323,0.0014564047993723482,21599
get,323,0.0014564047993723482,21599
even,322,0.001451895806185437,21599
also,315,0.0014203328538770579,21599
been,311,0.0014022968811294126,21599
here,304,0.0013707339288210336,21599
only,297,0.0013391709765126546,21599
know,292,0.001316626010578098,21599
best,288,0.0012985900378304528,21599
first,287,0.0012940810446435416,21599
ever,284,0.0012805540650828076,21599
story,283,0.0012760450718958963,21599
were,283,0.0012760450718958963,21599
too,282,0.001271536078708985,21599
way,281,0.0012670270855220738,21599
because,278,0.0012535001059613398,21599
still,274,0.0012354641332136948,21599
him,273,0.0012309551400267835,21599
made,266,0.0011993921877184043,21599
which,264,0.0011903742013445818,21599
never,264,0.0011903742013445818,21599
movies,263,0.0011858652081576705,21599
think,255,0.0011497932626623802,21599
could,255,0.0011497932626623802,21599
songs,253,0.0011407752762885575,21599
every,251,0.001131757289914735,21599
re,248,0.001118230310354001,21599
being,246,0.0011092123239801785,21599
people,243,0.0010956853444194447,21599
your,242,0.0010911763512325332,21599
did,242,0.0010911763512325332,21599
well,241,0.001086667358045622,21599
life,238,0.0010731403784848882,21599
fun,238,0.0010731403784848882,21599
little,237,0.001068631385297977,21599
de,236,0.0010641223921110654,21599
seen,231,0.0010415774261765091,21599
two,220,0.0009919785011204849,21599
films,219,0.0009874695079335736,21599
see,218,0.0009829605147466621,21599
them,217,0.0009784515215597509,21599
make,215,0.0009694335351859284,21599
didn,213,0.0009604155488121057,21599
over,211,0.0009513975624382831,21599
say,209,0.0009423795760644606,21599
after,208,0.0009378705828775492,21599
watching,208,0.0009378705828775492,21599
pretty,207,0.000933361589690638,21599
while,205,0.0009243436033168153,21599
will,205,0.0009243436033168153,21599
then,203,0.0009153256169429928,21599
where,202,0.0009108166237560815,21599
why,200,0.0009017986373822589,21599
lot,200,0.0009017986373822589,21599
man,197,0.0008882716578215251,21599
always,196,0.0008837626646346137,21599
thing,196,0.0008837626646346137,21599
day,192,0.0008657266918869685,21599
song,190,0.0008567087055131459,21599
sinatra,190,0.0008567087055131459,21599
d,189,0.0008521997123262347,21599
scene,187,0.000843181725952412,21599
something,187,0.000843181725952412,21599
now,186,0.0008386727327655008,21599
better,181,0.0008161277668309443,21599
got,181,0.0008161277668309443,21599
bad,180,0.000811618773644033,21599
many,180,0.000811618773644033,21599
watched,180,0.000811618773644033,21599
other,179,0.0008071097804571218,21599
through,178,0.0008026007872702104,21599
dance,175,0.0007890738077094765,21599
plot,175,0.0007890738077094765,21599
que,173,0.000780055821335654,21599
star,172,0.0007755468281487426,21599
around,171,0.0007710378349618314,21599
off,170,0.0007665288417749201,21599
feel,169,0.0007620198485880087,21599
any,165,0.0007439838758403636,21599
want,165,0.0007439838758403636,21599
world,164,0.0007394748826534523,21599
makes,163,0.000734965889466541,21599
la,163,0.000734965889466541,21599
before,163,0.000734965889466541,21599
though,160,0.0007214389099058071,21599
going,160,0.0007214389099058071,21599
frank,159,0.0007169299167188958,21599
character,158,0.0007124209235319846,21599
years,158,0.0007124209235319846,21599
long,156,0.0007034029371581619,21599
both,156,0.0007034029371581619,21599
right,155,0.0006988939439712507,21599
back,154,0.0006943849507843393,21599
such,154,0.0006943849507843393,21599
singing,154,0.0006943849507843393,21599
show,153,0.0006898759575974281,21599
go,153,0.0006898759575974281,21599
black,152,0.0006853669644105168,21599
part,151,0.0006808579712236054,21599
kelly,150,0.0006763489780366942,21599
real,148,0.0006673309916628716,21599
bit,146,0.000658313005289049,21599
rock,145,0.0006538040121021377,21599
does,144,0.0006492950189152264,21599
those,144,0.0006492950189152264,21599
am,143,0.0006447860257283152,21599
paul,143,0.0006447860257283152,21599
characters,143,0.0006447860257283152,21599
gene,143,0.0006447860257283152,21599
performance,142,0.0006402770325414038,21599
band,141,0.0006357680393544925,21599
end,140,0.0006312590461675813,21599
look,140,0.0006312590461675813,21599
ll,137,0.0006177320666068474,21599
almost,136,0.000613223073419936,21599
doesn,135,0.0006087140802330248,21599
funny,135,0.0006087140802330248,21599
actually,135,0.0006087140802330248,21599
these,135,0.0006087140802330248,21599
should,134,0.0006042050870461135,21599
numbers,134,0.0006042050870461135,21599
sure,132,0.0005951871006722909,21599
dancing,132,0.0005951871006722909,21599
comedy,130,0.0005861691142984683,21599
2,129,0.000581660121111557,21599
old,129,0.000581660121111557,21599
cast,128,0.0005771511279246457,21599
kind,128,0.0005771511279246457,21599
half,127,0.0005726421347377344,21599
things,127,0.0005726421347377344,21599
last,127,0.0005726421347377344,21599
everything,127,0.0005726421347377344,21599
may,127,0.0005726421347377344,21599
whole,127,0.0005726421347377344,21599
new,126,0.0005681331415508231,21599
fucking,126,0.0005681331415508231,21599
same,126,0.0005681331415508231,21599
hard,125,0.0005636241483639119,21599
girl,125,0.0005636241483639119,21599
