types,counts,probs,total_unique
the,56305,0.043148734965380624,69094
a,37308,0.028590587054230003,69094
and,30368,0.023272192228553035,69094
of,28357,0.021731083872006007,69094
i,22517,0.017255662289591963,69094
to,22470,0.017219644341925276,69094
it,21251,0.016285476720527547,69094
is,17991,0.013787210563221077,69094
this,17230,0.013204026346745548,69094
in,17111,0.013112831968610742,69094
s,17071,0.013082178396128455,69094
that,13769,0.01055172598771558,69094
but,9912,0.0075959552611109624,69094
with,9546,0.007315475072898027,69094
was,8558,0.006558331832585514,69094
for,8494,0.0065092861166138535,69094
movie,8114,0.0062180771780321175,69094
as,8063,0.0061789938731172,69094
film,7625,0.005843337254436146,69094
t,6950,0.005326058218797537,69094
on,6658,0.005102287139676835,69094
you,6603,0.005060138477513689,69094
so,5283,0.004048570585598185,69094
one,5265,0.004034776477981156,69094
an,5169,0.0039612079040236645,69094
like,5105,0.003912162188052004,69094
not,4849,0.0037159793241653607,69094
be,4516,0.0034607883332503134,69094
his,4473,0.0034278357428318535,69094
all,4234,0.003244680647250183,69094
he,4129,0.003164215019484177,69094
my,4124,0.003160383322923891,69094
are,4124,0.003160383322923891,69094
action,4060,0.0031113376069522303,69094
from,4005,0.0030691889447890842,69094
at,3830,0.0029350795651790743,69094
by,3812,0.0029212854575620447,69094
just,3781,0.0028975289388882717,69094
have,3756,0.0028783704560868414,69094
me,3576,0.0027404293799165457,69094
some,3436,0.0026331418762285375,69094
there,3305,0.0025327514263490444,69094
more,3297,0.002526620711852587,69094
what,3159,0.0024208658867886936,69094
they,3156,0.0024185668688525216,69094
up,3079,0.0023595587418241176,69094
has,3063,0.0023472973128312023,69094
good,3051,0.0023381012410865157,69094
time,3051,0.0023381012410865157,69094
out,3003,0.00230131695410777,69094
about,2984,0.0022867565071786836,69094
can,2952,0.0022622336491928533,69094
really,2800,0.0021457500737601587,69094
if,2595,0.001988650514788433,69094
who,2588,0.0019832861396040327,69094
when,2547,0.0019518662278096874,69094
its,2507,0.0019212126553273994,69094
or,2395,0.001835382652376993,69094
much,2309,0.001769477471540074,69094
no,2287,0.0017526180066748155,69094
than,2217,0.0016989742548308114,69094
great,2203,0.0016882455044620107,69094
fun,2177,0.0016683206823485234,69094
first,2169,0.001662189967852066,69094
how,2103,0.0016116115732562907,69094
we,2101,0.0016100788946321763,69094
into,2064,0.0015817243400860599,69094
had,2044,0.0015663975538449159,69094
even,2044,0.0015663975538449159,69094
films,2000,0.001532678624114399,69094
m,2000,0.001532678624114399,69094
very,1992,0.0015265479096179416,69094
ve,1941,0.0014874646047030244,69094
movies,1936,0.0014836329081427384,69094
und,1928,0.0014775021936462808,69094
also,1913,0.0014660071039654227,69094
die,1885,0.0014445496032278213,69094
most,1866,0.0014299891562987344,69094
get,1844,0.001413129691433476,69094
would,1837,0.0014077653162490756,69094
story,1777,0.0013617849575256436,69094
bad,1772,0.0013579532609653577,69094
which,1755,0.0013449254926603852,69094
man,1723,0.001320402634674555,69094
do,1720,0.0013181036167383832,69094
only,1714,0.0013135055808660401,69094
well,1711,0.0013112065629298684,69094
der,1700,0.0013027768304972392,69094
watch,1698,0.0013012441518731248,69094
don,1639,0.0012560301324617501,69094
still,1627,0.0012468340607170636,69094
way,1620,0.0012414696855326632,69094
made,1610,0.0012338062924120913,69094
best,1597,0.0012238438813553477,69094
here,1588,0.001216946827546833,69094
love,1584,0.001213881470298604,69094
pretty,1580,0.0012108161130503752,69094
being,1573,0.0012054517378659749,69094
because,1491,0.0011426119142772845,69094
too,1477,0.0011318831639084838,69094
never,1441,0.0011042949486744246,69094
been,1431,0.0010966315555538525,69094
see,1424,0.0010912671803694522,69094
seen,1399,0.0010721086975680222,69094
ever,1396,0.0010698096796318505,69094
were,1396,0.0010698096796318505,69094
off,1388,0.001063678965135393,69094
their,1382,0.0010590809292630498,69094
de,1363,0.001044520482333963,69094
where,1352,0.0010360907499013339,69094
after,1352,0.0010360907499013339,69094
think,1333,0.001021530302972247,69094
over,1333,0.001021530302972247,69094
know,1326,0.0010161659277878466,69094
make,1297,0.0009939420877381879,69094
better,1280,0.0009809143194332154,69094
lot,1239,0.0009494944076388703,69094
while,1236,0.0009471953897026987,69094
little,1221,0.0009357003000218406,69094
could,1218,0.0009334012820856691,69094
re,1211,0.0009280369069012686,69094
then,1206,0.0009242052103409827,69094
two,1189,0.0009111774420360103,69094
people,1174,0.0008996823523551523,69094
him,1171,0.0008973833344189807,69094
now,1169,0.0008958506557948663,69094
other,1161,0.0008897199412984087,69094
characters,1153,0.0008835892268019511,69094
plot,1131,0.0008667297619366927,69094
your,1098,0.0008414405646388052,69094
character,1094,0.0008383752073905763,69094
every,1086,0.0008322444928941187,69094
them,1086,0.0008322444928941187,69094
will,1083,0.0008299454749579471,69094
back,1080,0.0008276464570217755,69094
watching,1059,0.0008115533314685744,69094
got,1059,0.0008115533314685744,69094
going,1045,0.0008008245810997736,69094
cast,1040,0.0007969928845394875,69094
something,1034,0.0007923948486671443,69094
any,1021,0.0007824324376104007,69094
war,1019,0.0007808997589862864,69094
did,1017,0.000779367080362172,69094
her,1013,0.0007763017231139431,69094
these,980,0.0007510125258160555,69094
years,976,0.0007479471685678268,69094
thing,974,0.0007464144899437124,69094
many,974,0.0007464144899437124,69094
world,964,0.0007387510968231404,69094
d,959,0.0007349194002628543,69094
scenes,954,0.0007310877037025684,69094
watched,952,0.000729555025078454,69094
didn,945,0.0007241906498940536,69094
though,945,0.0007241906498940536,69094
always,943,0.0007226579712699392,69094
