types,counts,probs,total_unique
the,37467,0.045758203428415106,50510
a,24246,0.02961148211293545,50510
and,19324,0.023600275523812782,50510
of,18488,0.02257927416084924,50510
i,16080,0.019638399421595402,50510
it,14483,0.017687993707895908,50510
to,14416,0.017606167043639258,50510
is,11367,0.013882443173213615,50510
this,10945,0.01336705731774637,50510
in,10907,0.013320648164884392,50510
s,10547,0.012880982506191957,50510
that,9436,0.01152412543172725,50510
but,6362,0.0077698692238924085,50510
was,5669,0.006923512830909473,50510
with,5546,0.006773293730856224,50510
for,5360,0.0065461331405318,50510
film,5252,0.00641423344292407,50510
as,5192,0.006340955833141998,50510
t,4629,0.005653367594686885,50510
on,4421,0.0053993385474423675,50510
you,4394,0.005366363623040434,50510
movie,4289,0.005238127805921808,50510
so,3397,0.004148734007161665,50510
one,3378,0.004125529430730675,50510
an,3287,0.004014391722561199,50510
not,3188,0.0038934836664207798,50510
like,3093,0.003777460784265832,50510
me,2958,0.0036125861622561687,50510
be,2923,0.0035698408898832933,50510
my,2855,0.0034867929321302778,50510
at,2694,0.0032901646792150505,50510
from,2648,0.003233985178382128,50510
all,2647,0.00323276388488576,50510
his,2573,0.0031423881661545375,50510
are,2572,0.0031411668726581696,50510
by,2514,0.0030703318498688332,50510
just,2512,0.0030678892628760975,50510
he,2315,0.0028272944440916265,50510
have,2312,0.002823630563602523,50510
what,2286,0.002791876932696958,50510
about,2275,0.0027784427042369113,50510
can,2165,0.0026441004196364453,50510
there,2133,0.0026050190277526735,50510
more,2128,0.002598912560270834,50510
really,2000,0.002442586992735746,50510
some,1913,0.0023363344585517415,50510
out,1905,0.002326564110580798,50510
time,1862,0.00227404849023698,50510
up,1844,0.002252065207302358,50510
good,1783,0.0021775663040239177,50510
they,1775,0.0021677959560529748,50510
its,1730,0.0021128377487164207,50510
has,1722,0.0021030674007454777,50510
who,1708,0.002085969291796327,50510
when,1668,0.0020371175519416124,50510
horror,1647,0.002011470388517887,50510
if,1626,0.001985823225094162,50510
or,1618,0.001976052877123219,50510
m,1455,0.0017769820372152555,50510
first,1417,0.0017305728843532763,50510
much,1406,0.0017171386558932297,50510
how,1402,0.0017122534819077582,50510
very,1402,0.0017122534819077582,50510
than,1389,0.0016963766664549757,50510
into,1379,0.001684163731491297,50510
no,1373,0.0016768359705130898,50510
even,1356,0.001656073981074836,50510
story,1335,0.0016304268176511106,50510
