types,counts,probs,total_unique
the,77843,0.043509853338766266,83726
a,51047,0.028532398332335618,83726
and,41757,0.023339811490652507,83726
of,38643,0.02159926085286981,83726
i,31073,0.017368057150873993,83726
to,30828,0.01723111594783714,83726
it,29406,0.016436298026537528,83726
is,24765,0.01384224038043943,83726
in,23534,0.013154180703139978,83726
this,23494,0.01313182295570539,83726
s,23282,0.013013326894302072,83726
that,18955,0.010594777565565492,83726
but,13851,0.007741928992912035,83726
with,12981,0.007255647986209741,83726
was,11829,0.006611744860093601,83726
for,11740,0.006561998872051642,83726
movie,11166,0.006241165196365301,83726
as,11128,0.006219925336302442,83726
film,10538,0.005890148561642266,83726
t,9735,0.005441316781892908,83726
on,9143,0.005110422119861002,83726
you,8842,0.004942180070415725,83726
so,7266,0.00406128482149295,83726
one,7251,0.004052900666204979,83726
an,7096,0.00396626439489595,83726
like,7011,0.00391875418159745,83726
not,6746,0.003770634104843303,83726
be,6167,0.0034470057107276386,83726
his,5861,0.0032759689428530385,83726
all,5808,0.003246344927502209,83726
are,5772,0.00322622295481108,83726
my,5767,0.003223428236381756,83726
action,5624,0.0031434992893031033,83726
from,5539,0.0030959890760046036,83726
he,5522,0.0030864870333449034,83726
at,5354,0.0029925844941196328,83726
just,5208,0.002910978715983386,83726
have,5196,0.0029042713917530093,83726
by,5184,0.002897564067522633,83726
me,4943,0.002762858639229239,83726
some,4716,0.002635978422537951,83726
more,4560,0.0025487832075430567,83726
there,4538,0.002536486446454033,83726
they,4379,0.002447614400401545,83726
what,4321,0.0024151956666213924,83726
good,4247,0.002373833833867404,83726
up,4194,0.0023442098185165747,83726
out,4155,0.002322411014767851,83726
time,4147,0.0023179394652809333,83726
has,4139,0.0023134679157940157,83726
can,4080,0.0022804902383279984,83726
about,4050,0.0022637219277520573,83726
really,3838,0.0021452258663487394,83726
if,3530,0.00197307121110241,83726
who,3526,0.0019708354363589514,83726
when,3498,0.00195518501315474,83726
its,3434,0.0019194126172593984,83726
or,3298,0.0018433962759817986,83726
much,3205,0.0017914145131963809,83726
fun,3107,0.0017366380319816398,83726
first,3091,0.0017276949330078046,83726
than,3082,0.0017226644398350222,83726
no,3080,0.0017215465524632928,83726
great,3022,0.0016891278186831398,83726
how,2875,0.0016069630968610282,83726
we,2832,0.0015829285183688458,83726
even,2821,0.001576780137824334,83726
m,2804,0.001567278095164634,83726
had,2799,0.0015644833767353105,83726
very,2757,0.001541007741928993,83726
into,2748,0.0015359772487562105,83726
die,2732,0.0015270341497823753,83726
und,2712,0.0015158552760650811,83726
ve,2685,0.0015007637965467342,83726
films,2661,0.0014873491480859812,83726
movies,2658,0.001485672317028387,83726
also,2626,0.0014677861190807164,83726
most,2602,0.0014543714706199637,83726
would,2553,0.001426983230012593,83726
story,2536,0.001417481187352893,83726
get,2506,0.0014007128767769517,83726
which,2438,0.0013627047061381518,83726
only,2406,0.0013448185081904812,83726
well,2370,0.0013246965354993519,83726
do,2352,0.0013146355491537873,83726
bad,2348,0.0013123997744103283,83726
der,2335,0.0013051335064940871,83726
watch,2327,0.0013006619570071695,83726
still,2307,0.0012894830832898756,83726
don,2263,0.0012648895611118284,83726
love,2258,0.001262094842682505,83726
man,2234,0.001248680194221752,83726
made,2209,0.0012347066020751342,83726
way,2197,0.0012279992778447579,83726
here,2174,0.0012151435730698697,83726
pretty,2169,0.001212348854640546,83726
best,2151,0.0012022878682949815,83726
being,2095,0.001170987021886558,83726
because,2083,0.0011642796976561814,83726
too,2012,0.0011245946959597874,83726
been,1996,0.001115651596985952,83726
see,1952,0.001091058074807905,83726
never,1896,0.0010597572283994815,83726
off,1895,0.0010591982847136167,83726
were,1891,0.001056962509970158,83726
seen,1890,0.0010564035662842934,83726
their,1876,0.0010485783546821874,83726
after,1870,0.0010452246925669992,83726
ever,1853,0.0010357226499072992,83726
over,1849,0.0010334868751638404,83726
think,1845,0.0010312511004203816,83726
know,1844,0.0010306921567345168,83726
where,1811,0.0010122470151009816,83726
better,1794,0.0010027449724412817,83726
make,1773,0.0009910071550381227,83726
lot,1744,0.0009747977881480463,83726
while,1732,0.0009680904639176698,83726
de,1732,0.0009680904639176698,83726
little,1675,0.0009362306738233817,83726
re,1650,0.000922257081676764,83726
could,1650,0.000922257081676764,83726
then,1636,0.0009144318700746581,83726
people,1604,0.0008965456721269875,83726
other,1600,0.0008943098973835287,83726
plot,1586,0.0008864846857814229,83726
characters,1581,0.0008836899673520994,83726
two,1574,0.0008797773615510464,83726
now,1566,0.0008753058120641288,83726
him,1544,0.0008630090509751052,83726
them,1526,0.0008529480646295405,83726
back,1507,0.0008423281345981111,83726
cast,1500,0.0008384155287970581,83726
her,1490,0.0008328260919384111,83726
watching,1489,0.0008322671482525464,83726
will,1480,0.000827236655079764,83726
character,1479,0.0008266777113938994,83726
your,1472,0.0008227651055928465,83726
every,1463,0.0008177346124200641,83726
got,1451,0.0008110272881896876,83726
going,1443,0.00080655573870277,83726
something,1426,0.00079705369604307,83726
any,1425,0.0007964947523572053,83726
did,1407,0.0007864337660116405,83726
war,1385,0.000774137004922617,83726
does,1364,0.0007623991875194583,83726
scenes,1350,0.0007545739759173524,83726
world,1342,0.0007501024264304347,83726
didn,1337,0.0007473077080011112,83726
though,1334,0.0007456308769435171,83726
watched,1324,0.00074004144008487,83726
always,1323,0.0007394824963990053,83726
many,1323,0.0007394824963990053,83726
these,1322,0.0007389235527131406,83726
d,1320,0.0007378056653414112,83726
thing,1320,0.0007378056653414112,83726
why,1306,0.0007299804537393053,83726
years,1305,0.0007294215100534406,83726
doesn,1301,0.0007271857353099818,83726
say,1299,0.0007260678479382523,83726
big,1282,0.0007165658052785523,83726
ist,1278,0.0007143300305350936,83726
actually,1278,0.0007143300305350936,83726
through,1232,0.0006886186209853171,83726
bit,1223,0.0006835881278125348,83726
before,1219,0.0006813523530690759,83726
last,1203,0.0006724092540952406,83726
john,1196,0.0006684966482941877,83726
go,1185,0.0006623482677496759,83726
makes,1179,0.0006589946056344878,83726
she,1179,0.0006589946056344878,83726
may,1177,0.0006578767182627584,83726
kind,1166,0.0006517283377182466,83726
enough,1163,0.0006500515066606525,83726
scene,1143,0.0006388726329433583,83726
down,1142,0.0006383136892574936,83726
long,1133,0.0006332831960847113,83726
right,1132,0.0006327242523988466,83726
review,1129,0.0006310474213412525,83726
those,1121,0.0006265758718543348,83726
director,1112,0.0006215453786815524,83726
another,1111,0.0006209864349956877,83726
end,1094,0.0006114843923359877,83726
quite,1081,0.0006042181244197465,83726
das,1079,0.0006031002370480171,83726
work,1076,0.000601423405990423,83726
set,1071,0.0005986286875610996,83726
star,1059,0.0005919213633307231,83726
2,1055,0.0005896855885872643,83726
part,1049,0.000586331926472076,83726
cool,1047,0.0005852140391003466,83726
new,1043,0.0005829782643568878,83726
feel,1039,0.000580742489613429,83726
ein,1038,0.0005801835459275643,83726
isn,1019,0.0005695636158961348,83726
day,1018,0.0005690046722102701,83726
old,1017,0.0005684457285244054,83726
minutes,1013,0.0005662099537809466,83726
feels,1012,0.0005656510100950819,83726
take,1007,0.0005628562916657584,83726
que,1006,0.0005622973479798937,83726
shit,1003,0.0005606205169222995,83726
hard,998,0.000557825798492976,83726
few,998,0.000557825798492976,83726
guy,996,0.0005567079111212466,83726
around,993,0.0005550310800636525,83726
real,983,0.0005494416432050054,83726
gets,981,0.000548323755833276,83726
same,980,0.0005477648121474113,83726
horror,977,0.0005460879810898172,83726
sure,975,0.0005449700937180879,83726
such,974,0.0005444111500322232,83726
life,969,0.0005416164316028996,83726
mit,964,0.0005388217131735761,83726
entertaining,950,0.0005309965015714702,83726
half,947,0.0005293196705138761,83726
should,945,0.0005282017831421467,83726
things,942,0.0005265249520845525,83726
look,935,0.0005226123462834996,83726
both,935,0.0005226123462834996,83726
everything,932,0.0005209355152259055,83726
den,920,0.000514228190995529,83726
es,906,0.0005064029793934231,83726
between,906,0.0005064029793934231,83726
times,903,0.000504726148335829,83726
top,902,0.0005041672046499643,83726
fight,900,0.0005030493172782349,83726
interesting,894,0.0004996956551630466,83726
probably,893,0.0004991367114771819,83726
thriller,887,0.0004957830493619937,83726
thought,887,0.0004957830493619937,83726
again,881,0.0004924293872468055,83726
year,876,0.0004896346688174819,83726
ich,873,0.00048795783775988785,83726
almost,872,0.00048739889407402315,83726
want,872,0.00048739889407402315,83726
far,870,0.00048628100670229375,83726
zu,865,0.0004834862882729702,83726
comedy,862,0.0004818094572153761,83726
ll,849,0.0004745431892991349,83726
nothing,826,0.0004616874845242467,83726
whole,821,0.00045889276609492315,83726
funny,820,0.00045833382240905845,83726
fucking,814,0.00045498016029387026,83726
least,812,0.0004538622729221408,83726
original,805,0.00044994966712108786,83726
full,803,0.00044883177974935846,83726
series,788,0.0004404476244613879,83726
us,783,0.0004376529060320644,83726
5,780,0.00043597607497447024,83726
second,776,0.00043374030023101144,83726
yet,775,0.00043318135654514674,83726
3,775,0.00043318135654514674,83726
bond,767,0.0004287098070582291,83726
having,765,0.00042759191968649965,83726
o,764,0.00042703297600063495,83726
genre,763,0.00042647403231477025,83726
nicht,761,0.00042535614494304086,83726
since,754,0.0004214435391419879,83726
am,751,0.00041976670808439376,83726
anything,749,0.00041864882071266437,83726
lee,747,0.00041753093334093497,83726
effects,745,0.0004164130459692056,83726
hell,745,0.0004164130459692056,83726
definitely,743,0.0004152951585974761,83726
cinema,743,0.0004152951585974761,83726
point,739,0.00041305938385401733,83726
la,737,0.00041194149648228793,83726
james,723,0.00040411628488018204,83726
von,721,0.00040299839750845265,83726
