types,counts,probs,total_unique
the,32809,0.04437432459299754,46238
a,21666,0.029303365437285036,46238
and,16930,0.022897903482564187,46238
of,16598,0.022448871943508586,46238
i,13930,0.01884038957543527,46238
to,13113,0.017735393288060494,46238
it,13044,0.01764207046819653,46238
this,10230,0.013836122423309605,46238
is,10002,0.013527751366367809,46238
s,9602,0.012986749512083952,46238
in,9556,0.012924534298841309,46238
that,8367,0.011316406286982548,46238
but,5624,0.007606486071231009,46238
with,5331,0.007210202212968085,46238
was,5100,0.0068977736421191585,46238
for,4851,0.006560999987827458,46238
movie,4590,0.006207996277907243,46238
as,4415,0.005971307966658056,46238
film,4313,0.005833352493815672,46238
t,4162,0.005629124293823517,46238
on,4030,0.005450593681909845,46238
you,3829,0.005178740250132208,46238
so,3151,0.004261742107121072,46238
like,3114,0.004211699435599816,46238
an,2998,0.004054808897857498,46238
one,2831,0.003828940623693988,46238
not,2769,0.00374508533627999,46238
be,2633,0.003561144705823479,46238
from,2560,0.0034624118674166757,46238
my,2474,0.0033460964687456467,46238
all,2442,0.003302816320402938,46238
are,2428,0.003283881255503003,46238
have,2329,0.003149983296567749,46238
just,2301,0.003112113166767879,46238
his,2175,0.0029416975826684648,46238
me,2155,0.002914647489954272,46238
by,2150,0.0029078849667757236,46238
at,2144,0.002899769938961466,46238
what,2034,0.0027509944290334057,46238
he,2031,0.0027469369151262766,46238
time,1920,0.002596808900562507,46238
can,1882,0.0025454137244055406,46238
some,1879,0.0025413562104984115,46238
there,1869,0.002527831164141315,46238
they,1867,0.002525126154869896,46238
about,1864,0.002521068640962767,46238
more,1815,0.0024547959138129945,46238
up,1773,0.0023979907191131896,46238
out,1763,0.0023844656727560936,46238
has,1757,0.0023763506449418353,46238
really,1741,0.002354710570770481,46238
good,1597,0.0021599499032282934,46238
if,1549,0.0020950296807142306,46238
when,1514,0.0020476920184643935,46238
its,1474,0.0019935918330360076,46238
or,1460,0.001974656768136073,46238
who,1369,0.0018515788462864957,46238
we,1327,0.0017947736515866908,46238
much,1300,0.0017582560264225305,46238
no,1300,0.0017582560264225305,46238
m,1275,0.0017244434105297896,46238
first,1261,0.0017055083456298547,46238
how,1253,0.0016946883085441776,46238
into,1243,0.0016811632621870811,46238
man,1224,0.001655465674108598,46238
even,1212,0.0016392356184800824,46238
very,1203,0.0016270630767586955,46238
ve,1170,0.0015824304237802775,46238
had,1166,0.001577020405237439,46238
than,1158,0.001566200368151762,46238
films,1148,0.0015526753217946655,46238
would,1134,0.0015337402568947305,46238
fun,1108,0.0014985751363662799,46238
great,1091,0.001475582557559216,46238
fi,1084,0.0014661150251092485,46238
sci,1077,0.0014566474926592811,46238
love,1072,0.001449884969480733,46238
movies,1062,0.0014363599231236365,46238
also,1050,0.0014201298674951209,46238
story,1046,0.0014147198489522822,46238
do,1026,0.0013876697562380895,46238
horror,1020,0.0013795547284238317,46238
still,1015,0.0013727922052452835,46238
most,998,0.0013497996264382197,46238
get,995,0.0013457421125310906,46238
well,995,0.0013457421125310906,46238
action,987,0.0013349220754454137,46238
don,984,0.0013308645615382846,46238
only,981,0.0013268070476311557,46238
way,974,0.0013173395151811883,46238
which,969,0.0013105769920026401,46238
watch,966,0.0013065194780955112,46238
been,932,0.0012605343204813834,46238
see,911,0.001232131723131481,46238
because,910,0.0012307792184957714,46238
world,885,0.0011969666026030305,46238
made,876,0.0011847940608816438,46238
being,870,0.0011766790330673858,46238
pretty,866,0.0011712690145245473,46238
bad,865,0.0011699165098888375,46238
where,845,0.0011428664171746448,46238
too,844,0.0011415139125389353,46238
think,838,0.0011333988847246773,46238
here,832,0.0011252838569104195,46238
people,829,0.0011212263430032906,46238
off,809,0.001094176250289098,46238
their,802,0.0010847087178391304,46238
could,799,0.0010806512039320015,46238
know,797,0.0010779461946605821,46238
best,797,0.0010779461946605821,46238
were,784,0.001060363634396357,46238
ever,784,0.001060363634396357,46238
little,775,0.00104819109267497,46238
die,774,0.0010468385880392605,46238
und,770,0.0010414285694964219,46238
seen,760,0.0010279035231393256,46238
after,754,0.0010197884953250676,46238
de,750,0.0010143784767822292,46238
make,747,0.0010103209628751003,46238
something,736,0.0009954434118822943,46238
now,736,0.0009954434118822943,46238
never,731,0.000988680888703746,46238
then,721,0.0009751558423466497,46238
