types,counts,probs,total_unique
the,12992,0.04746612302757288,27347
a,7775,0.028405873348166497,27347
of,7133,0.02606033370964265,27347
and,6634,0.02423724293141306,27347
to,4780,0.017463675190255417,27347
it,4084,0.014920847170921153,27347
i,4013,0.01466144948504079,27347
in,3840,0.014029395968740753,27347
is,3610,0.013189093606029717,27347
s,3287,0.012009016809700743,27347
this,3187,0.011643667956348119,27347
that,2878,0.010514739999488511,27347
film,2244,0.008198428269232876,27347
but,1903,0.00695258867930043,27347
with,1866,0.006817409603559959,27347
as,1804,0.006590893314481333,27347
for,1780,0.006503209589676703,27347
was,1757,0.0064191793534056,27347
war,1687,0.006163435156058762,27347
on,1529,0.005586183967761617,27347
movie,1283,0.004687425788514163,27347
t,1270,0.004639930437578321,27347
you,1162,0.004245353675957488,27347
an,1123,0.004102867623149964,27347
one,1089,0.003978649013010073,27347
are,1036,0.003785014120733182,27347
by,948,0.003463507129782873,27347
be,948,0.003463507129782873,27347
not,931,0.0034013978247129273,27347
so,926,0.003383130382045296,27347
from,924,0.0033758234049782437,27347
at,884,0.003229683863637194,27347
like,880,0.003215069909503089,27347
all,862,0.003149307115899617,27347
his,838,0.003061623391094987,27347
about,792,0.00289356291855278,27347
they,748,0.0027328094230776256,27347
my,718,0.0026232047670718384,27347
have,707,0.00258301639320305,27347
me,698,0.002550134996401314,27347
there,688,0.0025136001110660513,27347
just,673,0.0024587977830631577,27347
more,670,0.0024478373174625792,27347
some,654,0.0023893815009261594,27347
he,646,0.0023601535926579494,27347
can,608,0.0022213210283839524,27347
what,607,0.002217667539850426,27347
its,603,0.0022030535857163213,27347
really,581,0.002122676837978744,27347
who,578,0.0021117163723781652,27347
films,568,0.002075181487042903,27347
good,563,0.0020569140443752717,27347
time,554,0.0020240326475735354,27347
out,549,0.0020057652049059044,27347
has,540,0.001972883808104168,27347
story,540,0.001972883808104168,27347
very,534,0.0019509628769030108,27347
their,526,0.0019217349686348009,27347
when,510,0.0018632791520983812,27347
up,496,0.0018121303126290137,27347
we,493,0.001801169847028435,27347
no,490,0.0017902093814278564,27347
de,487,0.0017792489158272777,27347
much,485,0.0017719419387602251,27347
how,460,0.0016806047254220692,27347
or,459,0.001676951236888543,27347
than,455,0.001662337282754438,27347
great,453,0.0016550303056873856,27347
first,453,0.0016550303056873856,27347
if,449,0.0016404163515532806,27347
most,447,0.0016331093744862283,27347
which,429,0.0015673465808827558,27347
into,424,0.0015490791382151248,27347
well,413,0.0015088907643463362,27347
even,401,0.0014650489019440213,27347
made,390,0.0014248605280752326,27347
were,388,0.00141755355100818,27347
action,382,0.0013956326198070227,27347
would,374,0.0013664047115388128,27347
had,372,0.0013590977344717604,27347
ve,364,0.0013298698262035505,27347
don,358,0.0013079488950023931,27347
only,356,0.0013006419179353405,27347
best,333,0.001216611681664237,27347
world,332,0.001212958193130711,27347
und,325,0.001187383773396027,27347
see,322,0.0011764233077954484,27347
also,321,0.0011727698192619223,27347
m,320,0.001169116330728396,27347
being,316,0.001154502376594291,27347
die,316,0.001154502376594291,27347
too,313,0.0011435419109937124,27347
watch,308,0.0011252744683260811,27347
movies,307,0.0011216209797925549,27347
here,306,0.0011179674912590288,27347
get,306,0.0011179674912590288,27347
do,302,0.0011033535371249238,27347
because,300,0.0010960465600578712,27347
people,298,0.0010887395829908188,27347
que,297,0.0010850860944572925,27347
them,294,0.0010741256288567139,27347
after,291,0.0010631651632561352,27347
seen,288,0.0010522046976555563,27347
other,287,0.0010485512091220302,27347
way,286,0.001044897720588504,27347
while,285,0.0010412442320549776,27347
der,284,0.0010375907435214516,27347
been,284,0.0010375907435214516,27347
think,281,0.0010266302779208727,27347
many,275,0.0010047093467197153,27347
during,274,0.001001055858186189,27347
love,273,0.0009974023696526627,27347
where,272,0.0009937488811191367,27347
still,271,0.0009900953925856104,27347
german,271,0.0009900953925856104,27347
pretty,270,0.000986441904052084,27347
two,268,0.0009791349269850317,27347
characters,267,0.0009754814384515054,27347
soldiers,266,0.0009718279499179792,27347
ever,266,0.0009718279499179792,27347
never,265,0.0009681744613844529,27347
know,258,0.0009426000416497693,27347
long,256,0.0009352930645827168,27347
little,244,0.000891451202180402,27347
then,243,0.0008877977136468757,27347
make,242,0.0008841442251133495,27347
re,240,0.000876837248046297,27347
man,240,0.000876837248046297,27347
drama,232,0.0008476093397780871,27347
over,232,0.0008476093397780871,27347
through,232,0.0008476093397780871,27347
men,231,0.0008439558512445609,27347
these,230,0.0008403023627110346,27347
vietnam,229,0.0008366488741775084,27347
before,225,0.0008220349200434035,27347
off,224,0.0008183814315098772,27347
could,223,0.000814727942976351,27347
scenes,221,0.0008074209659092985,27347
watched,220,0.0008037674773757722,27347
will,219,0.000800113988842246,27347
every,218,0.0007964605003087198,27347
lot,216,0.0007891535232416673,27347
years,216,0.0007891535232416673,27347
american,215,0.000785500034708141,27347
any,215,0.000785500034708141,27347
life,211,0.0007708860805740361,27347
cast,208,0.0007599256149734574,27347
battle,205,0.0007489651493728787,27347
though,202,0.0007380046837723,27347
quite,202,0.0007380046837723,27347
la,200,0.0007306977067052475,27347
better,199,0.0007270442181717213,27347
watching,199,0.0007270442181717213,27347
interesting,199,0.0007270442181717213,27347
nazi,198,0.000723390729638195,27347
does,197,0.0007197372411046688,27347
real,196,0.0007160837525711425,27347
those,196,0.0007160837525711425,27347
british,196,0.0007160837525711425,27347
director,192,0.0007014697984370377,27347
set,192,0.0007014697984370377,27347
bit,191,0.0006978163099035114,27347
why,190,0.0006941628213699852,27347
your,189,0.0006905093328364589,27347
did,189,0.0006905093328364589,27347
part,189,0.0006905093328364589,27347
feel,183,0.0006685884016353014,27347
go,183,0.0006685884016353014,27347
d,183,0.0006685884016353014,27347
us,182,0.0006649349131017752,27347
both,179,0.0006539744475011966,27347
propaganda,179,0.0006539744475011966,27347
say,178,0.0006503209589676703,27347
may,178,0.0006503209589676703,27347
scene,178,0.0006503209589676703,27347
es,178,0.0006503209589676703,27347
always,177,0.0006466674704341441,27347
between,177,0.0006466674704341441,27347
back,176,0.0006430139819006178,27347
going,174,0.0006357070048335653,27347
now,173,0.0006320535163000391,27347
john,172,0.0006284000277665128,27347
something,172,0.0006284000277665128,27347
character,170,0.0006210930506994603,27347
history,170,0.0006210930506994603,27347
him,170,0.0006210930506994603,27347
bad,168,0.0006137860736324079,27347
such,168,0.0006137860736324079,27347
right,167,0.0006101325850988817,27347
half,167,0.0006101325850988817,27347
her,167,0.0006101325850988817,27347
times,167,0.0006101325850988817,27347
epic,165,0.0006028256080318292,27347
end,165,0.0006028256080318292,27347
didn,162,0.0005918651424312505,27347
doesn,159,0.0005809046768306717,27347
wwii,159,0.0005809046768306717,27347
feels,158,0.0005772511882971455,27347
e,158,0.0005772511882971455,27347
shot,157,0.0005735976997636192,27347
makes,157,0.0005735976997636192,27347
thing,154,0.0005626372341630406,27347
work,154,0.0005626372341630406,27347
down,153,0.0005589837456295144,27347
review,153,0.0005589837456295144,27347
around,151,0.0005516767685624619,27347
almost,150,0.0005480232800289356,27347
fun,150,0.0005480232800289356,27347
another,148,0.0005407163029618831,27347
three,147,0.0005370628144283569,27347
