types,counts,probs,total_unique
the,6585,0.043218019649924194,16498
a,4106,0.026948092434713553,16498
and,4020,0.026383665754395637,16498
i,3317,0.021769805797843364,16498
of,3263,0.021415398347411185,16498
to,2772,0.01819291578885192,16498
it,2439,0.01600740317785347,16498
this,2136,0.014018783594872906,16498
in,2132,0.013992531191137188,16498
s,2096,0.013756259557515735,16498
is,2002,0.013139328069726385,16498
that,1721,0.011295096707292262,16498
was,1132,0.007429430257207926,16498
but,1095,0.007186595522652543,16498
for,1042,0.006838751173154292,16498
with,1003,0.00658279023673105,16498
t,998,0.006549974732061405,16498
you,945,0.006202130382563153,16498
film,910,0.005972421849875629,16498
as,889,0.005834596730263115,16498
on,868,0.0056967716106506,16498
movie,810,0.005316111756482703,16498
my,776,0.005092966324729108,16498
so,760,0.00498795670978624,16498
one,660,0.004331646616393314,16498
me,655,0.004298831111723667,16498
like,616,0.004042870175300426,16498
be,607,0.003983802266895062,16498
all,594,0.003898481954753982,16498
not,573,0.0037606568351414675,16498
are,566,0.003714715128603963,16498
just,543,0.00356376380712359,16498
an,541,0.003550637605255731,16498
at,527,0.0034587541921807215,16498
about,504,0.0033078028707003485,16498
have,495,0.003248734962294985,16498
his,486,0.0031896670538896217,16498
he,464,0.003045278833343178,16498
from,460,0.003019026429607461,16498
by,444,0.002914016814664593,16498
what,425,0.0027893178969199367,16498
they,420,0.0027565023922502905,16498
love,405,0.0026580558782413515,16498
can,404,0.002651492777307422,16498
there,402,0.0026383665754395637,16498
time,390,0.0025596093642324125,16498
music,387,0.0025399200614306247,16498
musical,365,0.002395531840884181,16498
really,361,0.002369279437148464,16498
up,355,0.0023299008315448883,16498
if,348,0.0022839591250073837,16498
when,342,0.002244580519403808,16498
more,341,0.0022380174184698787,16498
much,340,0.0022314543175359493,16498
m,337,0.0022117650147341615,16498
out,330,0.002165823308196657,16498
who,325,0.0021330078035270103,16498
no,325,0.0021330078035270103,16498
how,311,0.0020411243904520007,16498
some,307,0.002014871986716284,16498
good,301,0.0019754933811127083,16498
or,290,0.0019032992708394863,16498
their,286,0.0018770468671037693,16498
ve,273,0.0017917265549626889,16498
has,269,0.0017654741512269717,16498
great,254,0.0016670276372180329,16498
would,253,0.0016604645362841034,16498
had,250,0.0016407752334823156,16498
her,243,0.0015948335269448108,16498
don,239,0.0015685811232090939,16498
its,236,0.001548891820407306,16498
most,235,0.0015423287194733769,16498
even,235,0.0015423287194733769,16498
we,233,0.0015292025176055182,16498
very,232,0.001522639416671589,16498
get,230,0.0015095132148037304,16498
watch,227,0.0014898239120019426,16498
here,226,0.0014832608110680134,16498
than,224,0.0014701346092001548,16498
she,222,0.0014570084073322965,16498
