types,counts,probs,total_unique
the,38585,0.04161579512754915,56488
a,27753,0.02993295742321813,56488
and,22380,0.024137916157951276,56488
of,20254,0.021844921977799157,56488
i,16282,0.017560927206602444,56488
to,15726,0.016961254222517506,56488
it,15005,0.016183620730565635,56488
is,13159,0.014192620139521038,56488
s,12681,0.013677073940973197,56488
in,12239,0.01320035548959632,56488
this,11777,0.012702066067568909,56488
that,10117,0.01091167550357431,56488
but,6893,0.007434435034707692,56488
with,6601,0.007119498863209847,56488
as,6172,0.006656801542755821,56488
for,5986,0.0064561915157058235,56488
film,5891,0.0063537294051157715,56488
was,5872,0.006333236982997761,56488
t,5075,0.005473633802573848,56488
you,5012,0.005405685245024655,56488
on,4928,0.005315087168292399,56488
movie,4845,0.0052255676400926685,56488
one,3736,0.004029457317520374,56488
his,3720,0.004012200540999944,56488
so,3674,0.003962587308503708,56488
like,3631,0.003916209721605053,56488
an,3583,0.0038644393920437632,56488
he,3432,0.0037015785636322065,56488
not,3319,0.0035797025794566703,56488
be,3147,0.0033941922318620494,56488
from,3089,0.0033316364169754913,56488
my,2997,0.003232409951983019,56488
all,2928,0.0031579901032386657,56488
me,2925,0.003154754457641085,56488
by,2853,0.0030770989632991504,56488
at,2852,0.003076020414766624,56488
are,2790,0.003009150405749958,56488
just,2721,0.002934730557005604,56488
have,2599,0.0028031476360373263,56488
more,2374,0.0025604742162187812,56488
what,2374,0.0025604742162187812,56488
about,2267,0.002445069523238407,56488
out,2237,0.002412713067262601,56488
up,2203,0.0023760424171566873,56488
there,2179,0.0023501572523760422,56488
can,2164,0.0023339790243881394,56488
who,2143,0.0023113295052050752,56488
some,2104,0.0022692661124365274,56488
good,2090,0.002254166432981151,56488
has,2078,0.0022412238505908288,56488
time,2032,0.002191610618094593,56488
really,2016,0.002174353841574163,56488
they,1983,0.0021387617400007767,56488
when,1855,0.0020007075278373376,56488
its,1826,0.0019694296203940586,56488
or,1787,0.0019273662276255107,56488
action,1730,0.0018658889612714793,56488
great,1681,0.0018130400831776628,56488
if,1663,0.0017936262095921793,56488
much,1594,0.0017192063608478254,56488
no,1587,0.0017116565211201373,56488
very,1572,0.0016954782931322345,56488
how,1571,0.0016943997445997075,56488
than,1519,0.0016383152209083105,56488
